ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
323,734,559700,6212,559700
323,734,559860,6212,559860
323,734,560860,6212,560860
323,734,561180,6212,561180
324,736,562180,6212,562180
324,736,563180,6212,563180
324,736,563400,6212,563400
325,738,564400,6212,564400
325,738,565400,6212,565400
326,740,566400,6212,566400
326,740,567400,6212,567400
327,742,568210,6212,568210
327,742,568440,6212,568440
327,742,568910,6212,568910
328,744,569910,6212,569910
328,744,570910,6212,570910
328,744,571140,6212,571140
329,746,572140,6212,572140
329,746,573140,6212,573140
330,748,574140,6212,574140
330,748,574140,6212,574140
330,748,574690,6212,574690
331,750,575690,6212,575690
331,750,576690,6212,576690
332,752,577500,6212,577500
332,752,578500,6212,578500
332,752,578970,6212,578970
333,754,579620,6212,579620
333,754,580620,6212,580620
334,756,581620,6212,581620
334,756,582620,6212,582620
335,758,583620,6212,583620
335,758,584620,6212,584620
336,760,585620,6212,585620
336,760,586430,6212,586430
336,760,586430,6212,586430
337,762,586910,6212,586910
337,762,587910,6212,587910
337,762,588370,6212,588370
338,764,589370,6212,589370
338,764,590370,6212,590370
339,766,591180,6212,591180
339,766,591180,6212,591180
339,766,592180,6212,592180
340,768,593180,6212,593180
340,768,594180,6212,594180
340,768,594180,6212,594180
340,768,594180,6212,594180
341,770,595180,6212,595180
341,770,596180,6212,596180
342,772,597180,6212,597180
