ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
2147247.35,36.36,1.15,165340.82,2.8
2147002.52,36.36,1.15,165291.72,2.8
2147394.62,36.38,1.16,166148.49,2.81
2147394.62,36.38,1.16,166148.49,2.81
2146718.83,36.37,1.15,165343.1,2.8
2146564.62,36.37,1.15,165169.31,2.8
2146201.42,36.37,1.15,165224.15,2.8
2146593.53,36.38,1.17,165693.62,2.81
2146593.53,36.38,1.17,165693.62,2.81
2146593.53,36.38,1.17,165693.62,2.81
2146718.45,36.39,1.17,166070.1,2.81
2146310.35,36.39,1.17,165933.03,2.81
2146253.64,36.39,1.17,166113.69,2.82
2146253.64,36.39,1.17,166144.32,2.82
2145629.34,36.39,1.17,165935.34,2.81
2145417.9,36.38,1.17,165726.14,2.81
2145053.03,36.38,1.17,165670.59,2.81
2144478.29,36.38,1.16,165082.33,2.8
2144113.42,36.38,1.16,165078.78,2.8
2144202.62,36.38,1.17,165024.85,2.8
2143716.83,36.38,1.16,164409.45,2.79
2143345.53,36.38,1.16,164208.83,2.79
2143425.3,36.38,1.17,164218.11,2.79
2143180.46,36.39,1.17,164469.11,2.79
2142975.64,36.38,1.17,164259.37,2.79
2142610.77,36.38,1.17,164684.48,2.8
2142245.9,36.38,1.17,164628.74,2.8
2141881.03,36.38,1.17,164625.38,2.8
2141190.58,36.38,1.16,163801.14,2.78
2140806.51,36.37,1.16,163440.85,2.78
2140995.77,36.38,1.16,163497.77,2.78
2140702.27,36.38,1.16,162890.82,2.77
2140457.44,36.38,1.16,163201.9,2.77
2140087.66,36.38,1.16,163127.49,2.77
2139802.3,36.38,1.17,163175.05,2.77
2139504.07,36.38,1.16,162944.27,2.77
2139826.48,36.39,1.18,164462.29,2.8
2139676.24,36.4,1.18,163912.96,2.79
2139499.75,36.4,1.18,164005.42,2.79
2139490.58,36.4,1.19,165217.89,2.81
2139091.26,36.4,1.19,164436.76,2.8
2139184.47,36.41,1.19,165262.21,2.81
2138672.56,36.41,1.19,164882.01,2.81
2138496.08,36.41,1.19,165053.36,2.81
2138132.89,36.41,1.19,165015.58,2.81
2138854.58,36.42,1.21,165635.88,2.82
2138264.04,36.42,1.21,165507.01,2.82
2138264.04,36.42,1.21,165507.01,2.82
2138264.04,36.42,1.21,165507.01,2.82
2137921.11,36.42,1.21,165507.97,2.82
2137921.11,36.42,1.21,165507.97,2.82
2137557.92,36.42,1.21,165562.27,2.82
2137557.92,36.42,1.21,165562.27,2.82
2137381.43,36.42,1.21,165654.73,2.82
2137622.53,36.43,1.22,165872.79,2.83
2137980.54,36.44,1.23,166503.65,2.84
2137615.67,36.44,1.23,166535.84,2.84
2137037.51,36.44,1.22,165937.5,2.83
2136843.51,36.44,1.22,165419.4,2.82
2136843.51,36.44,1.22,165404.57,2.82
2136598.67,36.44,1.22,165355.71,2.82
2136749.93,36.44,1.23,165955.0,2.83
2136817.79,36.45,1.24,166393.52,2.84
2136646.65,36.46,1.24,167218.81,2.85
2136646.65,36.46,1.24,167218.81,2.85
2136327.64,36.45,1.24,166899.8,2.85
2136082.8,36.45,1.24,166896.16,2.85
2136719.35,36.47,1.26,167203.92,2.85
2136720.97,36.47,1.26,167225.01,2.85
2136357.78,36.47,1.26,167279.32,2.86
2135641.03,36.47,1.25,166734.21,2.85
2135584.33,36.47,1.25,166831.56,2.85
2135323.36,36.47,1.26,166244.0,2.84
2135323.36,36.47,1.26,166293.78,2.84
2135414.35,36.48,1.26,166958.6,2.85
