ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
460,2328,277740,6212,277740
460,2328,277740,6212,277740
461,2330,278010,6212,278010
461,2330,278820,6212,278820
462,2338,279290,6212,279290
462,2338,279290,6212,279290
463,2346,279520,6212,279520
464,2354,280330,6212,280330
465,2362,281140,6212,281140
465,2362,281950,6212,281950
465,2362,282760,6212,282760
466,2364,283080,6212,283080
466,2364,283540,6212,283540
467,2366,283540,6212,283540
467,2366,283700,6212,283700
468,2367,283860,6212,283860
468,2367,284180,6212,284180
469,2369,284650,6212,284650
470,2377,285460,6212,285460
471,2379,285930,6212,285930
472,2387,286150,6212,286150
472,2387,286960,6212,286960
473,2395,287280,6212,287280
473,2395,288090,6212,288090
473,2395,288900,6212,288900
473,2395,289220,6212,289220
474,2403,289220,6212,289220
475,2411,290030,6212,290030
475,2411,290350,6212,290350
476,2419,291160,6212,291160
477,2427,291160,6212,291160
478,2429,291970,6212,291970
479,2437,292780,6212,292780
479,2437,293590,6212,293590
480,2445,294140,6212,294140
481,2447,294610,6212,294610
482,2449,295080,6212,295080
482,2449,295080,6212,295080
483,2451,295080,6212,295080
483,2451,295730,6212,295730
484,2453,295730,6212,295730
484,2453,295730,6212,295730
484,2453,296540,6212,296540
484,2453,297130,6212,297130
485,2461,297180,6212,297180
486,2463,297530,6212,297530
487,2464,297850,6212,297850
488,2472,298660,6212,298660
489,2474,299470,6212,299470
490,2476,300280,6212,300280
490,2476,300330,6212,300330
491,2478,300490,6212,300490
492,2486,301140,6212,301140
492,2486,301790,6212,301790
492,2486,301790,6212,301790
493,2490,302600,6212,302600
494,2492,303250,6212,303250
494,2492,304060,6212,304060
495,2496,304530,6212,304530
496,2504,304530,6212,304530
497,2512,305340,6212,305340
497,2512,306150,6212,306150
497,2512,306960,6212,306960
497,2512,306960,6212,306960
498,2520,307770,6212,307770
499,2528,307770,6212,307770
499,2528,308240,6212,308240
500,2530,308240,6212,308240
500,2530,309050,6212,309050
501,2538,309520,6212,309520
502,2546,309520,6212,309520
503,2548,309520,6212,309520
504,2556,309840,6212,309840
504,2556,310650,6212,310650
505,2558,311120,6212,311120
506,2566,311590,6212,311590
507,2568,312400,6212,312400
