ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
728122.21,12.4,2.18,177720.87,3.03
728122.21,12.4,2.18,177720.87,3.03
728019.99,12.4,2.18,177720.87,3.03
728507.83,12.41,2.18,178079.29,3.03
728769.85,12.41,2.19,177671.56,3.03
728769.85,12.41,2.19,177671.56,3.03
728856.25,12.42,2.19,177856.1,3.03
728754.03,12.42,2.19,177847.57,3.03
728754.03,12.42,2.19,177847.57,3.03
728651.81,12.42,2.19,177764.41,3.03
728549.59,12.42,2.19,177771.19,3.03
728636.0,12.42,2.2,177841.93,3.03
728337.14,12.42,2.19,177683.57,3.03
728234.92,12.42,2.19,177690.36,3.03
728132.7,12.42,2.19,177591.89,3.03
728355.99,12.42,2.2,177658.85,3.03
728253.77,12.42,2.2,177822.73,3.03
728095.14,12.42,2.2,177664.1,3.03
727799.63,12.42,2.19,177371.57,3.03
727697.41,12.42,2.19,177363.05,3.03
727595.19,12.42,2.19,177279.88,3.03
727595.19,12.42,2.19,177281.18,3.03
727492.97,12.42,2.19,177189.49,3.02
727492.97,12.42,2.19,177189.49,3.02
727334.49,12.41,2.19,177031.01,3.02
727176.0,12.41,2.19,176874.87,3.02
727262.41,12.42,2.19,177061.37,3.02
727160.19,12.42,2.19,177068.16,3.02
727246.6,12.42,2.2,177138.89,3.02
727144.38,12.42,2.2,177130.37,3.03
727042.15,12.42,2.2,177047.2,3.02
726939.93,12.42,2.2,177053.99,3.03
727026.34,12.42,2.2,177124.72,3.03
726924.12,12.42,2.2,177107.98,3.03
727250.07,12.43,2.21,177407.03,3.03
727147.85,12.43,2.21,177315.34,3.03
727045.62,12.43,2.21,177315.34,3.03
727132.03,12.43,2.21,177429.18,3.03
727029.81,12.43,2.21,177392.86,3.03
726927.59,12.43,2.21,177376.11,3.03
726559.42,12.43,2.21,177062.12,3.03
726457.2,12.43,2.21,176987.17,3.03
726543.6,12.43,2.21,177101.02,3.03
726441.38,12.43,2.21,177064.69,3.03
726339.16,12.43,2.21,176973.0,3.03
726339.16,12.43,2.21,176973.0,3.03
