ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
886440.57,15.37,2.68,527230.78,9.14
886316.53,15.38,2.68,527062.78,9.14
886135.28,15.37,2.68,526803.68,9.14
886380.19,15.38,2.69,527048.58,9.14
886380.19,15.38,2.69,527048.58,9.14
886380.19,15.38,2.69,527048.58,9.14
885952.88,15.37,2.68,526402.32,9.13
885525.57,15.37,2.68,525756.06,9.13
885968.46,15.38,2.69,525920.13,9.13
885815.81,15.38,2.69,525767.48,9.13
886178.62,15.39,2.69,526479.84,9.14
885951.72,15.38,2.69,526087.52,9.14
885753.31,15.38,2.69,525889.12,9.13
885753.31,15.38,2.69,525889.12,9.13
885629.27,15.38,2.69,525721.11,9.13
884967.25,15.37,2.68,524780.27,9.12
884722.16,15.37,2.68,524535.18,9.11
884979.43,15.38,2.68,524347.49,9.11
885231.71,15.38,2.69,525329.49,9.13
885107.67,15.38,2.69,524917.29,9.12
885034.38,15.38,2.69,524686.74,9.12
885034.38,15.38,2.69,524686.74,9.12
884873.32,15.38,2.69,525293.4,9.13
884503.31,15.38,2.69,524902.17,9.13
884543.64,15.38,2.69,524550.91,9.12
884498.15,15.38,2.69,524454.61,9.12
