ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
101,444,395290,6212,395290
101,444,395660,6212,395660
101,444,395660,6212,395660
101,444,395660,6212,395660
101,444,396660,6212,396660
101,444,397660,6212,397660
101,444,398660,6212,398660
101,444,399210,6212,399210
101,444,400210,6212,400210
102,446,400680,6212,400680
102,446,401150,6212,401150
102,446,402150,6212,402150
102,446,402470,6212,402470
102,446,403470,6212,403470
103,454,404470,6212,404470
103,454,405020,6212,405020
103,454,405020,6212,405020
103,454,405830,6212,405830
103,454,406380,6212,406380
103,454,407380,6212,407380
103,454,408380,6212,408380
103,454,408380,6212,408380
103,454,409380,6212,409380
103,454,410190,6212,410190
103,454,411190,6212,411190
103,454,411190,6212,411190
103,454,411510,6212,411510
103,454,411510,6212,411510
104,462,419510,6212,419510
104,462,419510,6212,419510
104,462,420510,6212,420510
105,464,421510,6212,421510
105,464,421510,6212,421510
105,464,421510,6212,421510
105,464,422510,6212,422510
106,466,423510,6212,423510
106,466,424320,6212,424320
107,468,424970,6212,424970
107,468,425970,6212,425970
108,476,426440,6212,426440
108,476,427250,6212,427250
108,476,427840,6212,427840
108,476,428840,6212,428840
108,476,429130,6212,429130
108,476,429130,6212,429130
108,476,429130,6212,429130
108,476,429600,6212,429600
108,476,430250,6212,430250
108,476,430620,6212,430620
108,476,430940,6212,430940
108,476,431940,6212,431940
108,476,431940,6212,431940
108,476,432410,6212,432410
108,476,432880,6212,432880
108,476,433110,6212,433110
109,484,434110,6212,434110
109,484,435110,6212,435110
109,484,435580,6212,435580
109,484,436580,6212,436580
109,484,437580,6212,437580
109,484,438390,6212,438390
110,486,439390,6212,439390
110,486,439860,6212,439860
110,486,440020,6212,440020
110,486,441020,6212,441020
111,488,442020,6212,442020
111,488,442490,6212,442490
112,496,443490,6212,443490
112,496,444140,6212,444140
112,496,445140,6212,445140
112,496,445790,6212,445790
112,496,445790,6212,445790
112,496,446600,6212,446600
112,496,446920,6212,446920
112,496,447920,6212,447920
112,496,448150,6212,448150
113,504,449150,6212,449150
113,504,450150,6212,450150
113,504,450620,6212,450620
113,504,450730,6212,450730
113,504,450730,6212,450730
113,504,451200,6212,451200
113,504,452200,6212,452200
113,504,452570,6212,452570
113,504,452570,6212,452570
113,504,453030,6212,453030
113,504,453030,6212,453030
114,506,454030,6212,454030
114,506,454030,6212,454030
114,506,454840,6212,454840
114,506,455650,6212,455650
114,506,456460,6212,456460
114,506,457460,6212,457460
114,506,458460,6212,458460
114,506,459460,6212,459460
114,506,459460,6212,459460
114,506,460270,6212,460270
115,514,461270,6212,461270
115,514,461920,6212,461920
115,514,462240,6212,462240
116,522,470240,6212,470240
116,522,471240,6212,471240
116,522,472240,6212,472240
116,522,473240,6212,473240
116,522,474050,6212,474050
116,522,474050,6212,474050
116,522,474050,6212,474050
116,522,475050,6212,475050
116,522,476050,6212,476050
117,524,477050,6212,477050
117,524,477520,6212,477520
118,532,478520,6212,478520
119,536,479520,6212,479520
119,536,480520,6212,480520
119,536,481520,6212,481520
119,536,481980,6212,481980
120,538,482790,6212,482790
120,538,483790,6212,483790
121,540,484600,6212,484600
121,540,484650,6212,484650
121,540,485090,6212,485090
121,540,485680,6212,485680
122,542,486490,6212,486490
122,542,487490,6212,487490
122,542,487490,6212,487490
122,542,488490,6212,488490
