ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
246,554,500500,6212,500500
247,556,501500,6212,501500
247,556,502500,6212,502500
248,558,503310,6212,503310
249,560,504310,6212,504310
249,560,504780,6212,504780
250,562,505780,6212,505780
251,564,506780,6212,506780
252,566,507780,6212,507780
252,566,508590,6212,508590
252,566,509590,6212,509590
252,566,509590,6212,509590
252,566,510590,6212,510590
252,566,511590,6212,511590
253,568,512400,6212,512400
254,570,513400,6212,513400
254,570,514210,6212,514210
255,572,515020,6212,515020
255,572,515670,6212,515670
255,572,516670,6212,516670
256,574,517480,6212,517480
257,576,518480,6212,518480
257,576,518940,6212,518940
257,576,518940,6212,518940
257,576,519940,6212,519940
258,578,520490,6212,520490
258,578,520490,6212,520490
258,578,520490,6212,520490
258,578,521300,6212,521300
258,578,521770,6212,521770
259,580,522770,6212,522770
260,582,523580,6212,523580
260,582,524050,6212,524050
260,582,524050,6212,524050
261,584,525050,6212,525050
262,586,525860,6212,525860
262,586,526330,6212,526330
262,586,526800,6212,526800
262,586,527120,6212,527120
262,586,527440,6212,527440
263,594,527440,6212,527440
264,596,528440,6212,528440
264,596,528760,6212,528760
265,598,529570,6212,529570
265,598,530570,6212,530570
265,598,531040,6212,531040
265,598,531040,6212,531040
266,600,533040,6212,533040
266,600,533590,6212,533590
267,602,534240,6212,534240
268,604,535240,6212,535240
268,604,535710,6212,535710
268,604,536710,6212,536710
268,604,536710,6212,536710
268,604,536710,6212,536710
268,604,536710,6212,536710
268,604,536940,6212,536940
268,604,537260,6212,537260
269,606,538260,6212,538260
269,606,538260,6212,538260
270,614,546260,6212,546260
270,614,546580,6212,546580
270,614,546580,6212,546580
270,614,546900,6212,546900
271,616,547710,6212,547710
271,616,547710,6212,547710
271,616,547940,6212,547940
271,616,548940,6212,548940
271,616,549410,6212,549410
271,616,550410,6212,550410
272,618,551410,6212,551410
273,620,552060,6212,552060
273,620,553060,6212,553060
274,628,561060,6212,561060
274,628,561060,6212,561060
274,628,562060,6212,562060
274,628,562060,6212,562060
274,628,562870,6212,562870
275,630,563870,6212,563870
275,630,564090,6212,564090
275,630,565090,6212,565090
275,630,565090,6212,565090
276,632,566090,6212,566090
276,632,567090,6212,567090
277,634,567900,6212,567900
277,634,568370,6212,568370
278,636,569020,6212,569020
278,636,569020,6212,569020
279,638,570020,6212,570020
279,638,570490,6212,570490
279,638,570810,6212,570810
279,638,570810,6212,570810
279,638,571810,6212,571810
280,640,572810,6212,572810
280,640,573810,6212,573810
281,642,574810,6212,574810
281,642,575810,6212,575810
282,644,576810,6212,576810
282,644,577810,6212,577810
283,646,578810,6212,578810
284,648,579620,6212,579620
285,650,580620,6212,580620
285,650,581430,6212,581430
286,652,581900,6212,581900
286,652,581900,6212,581900
286,652,582710,6212,582710
286,652,583710,6212,583710
286,652,583760,6212,583760
