ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
257,658,546200,6212,546200
257,658,547200,6212,547200
258,660,548200,6212,548200
258,660,549200,6212,549200
258,660,550200,6212,550200
259,662,551200,6212,551200
259,662,551430,6212,551430
259,662,552430,6212,552430
260,664,553430,6212,553430
260,664,554240,6212,554240
260,664,555240,6212,555240
261,666,556240,6212,556240
262,668,556700,6212,556700
262,668,557700,6212,557700
262,668,558160,6212,558160
262,668,559160,6212,559160
263,670,559970,6212,559970
263,670,559970,6212,559970
263,670,560970,6212,560970
264,672,561970,6212,561970
264,672,562970,6212,562970
264,672,563780,6212,563780
265,674,564370,6212,564370
265,674,564840,6212,564840
266,676,565840,6212,565840
267,684,569840,6212,569840
267,684,569840,6212,569840
267,684,570310,6212,570310
268,692,570310,6212,570310
268,692,570630,6212,570630
269,694,571440,6212,571440
269,694,572440,6212,572440
270,696,573440,6212,573440
270,696,573440,6212,573440
270,696,574440,6212,574440
270,696,574670,6212,574670
271,704,575670,6212,575670
271,704,576670,6212,576670
271,704,577670,6212,577670
271,704,577670,6212,577670
272,706,578670,6212,578670
272,706,579140,6212,579140
272,706,579790,6212,579790
272,706,580790,6212,580790
273,710,581790,6212,581790
273,710,581790,6212,581790
274,712,582790,6212,582790
275,714,583260,6212,583260
275,714,583580,6212,583580
275,714,584390,6212,584390
276,716,585200,6212,585200
276,716,585670,6212,585670
276,716,586670,6212,586670
276,716,586670,6212,586670
276,716,587670,6212,587670
276,716,588670,6212,588670
276,716,589670,6212,589670
276,716,590670,6212,590670
277,718,590890,6212,590890
277,718,591890,6212,591890
277,718,592890,6212,592890
278,720,593890,6212,593890
278,720,594700,6212,594700
278,720,594700,6212,594700
278,720,595160,6212,595160
278,720,595380,6212,595380
279,722,596380,6212,596380
279,722,597380,6212,597380
280,724,597850,6212,597850
280,724,598850,6212,598850
280,724,599850,6212,599850
281,726,600850,6212,600850
282,734,608850,6212,608850
282,734,609170,6212,609170
282,734,609720,6212,609720
283,736,610720,6212,610720
283,736,610720,6212,610720
283,736,611720,6212,611720
284,738,612530,6212,612530
284,738,613000,6212,613000
285,740,613810,6212,613810
286,742,614810,6212,614810
286,742,615030,6212,615030
286,742,616030,6212,616030
286,742,616500,6212,616500
286,742,617310,6212,617310
287,744,618310,6212,618310
288,746,619120,6212,619120
288,746,619440,6212,619440
288,746,619440,6212,619440
289,748,620250,6212,620250
289,748,621060,6212,621060
289,748,621060,6212,621060
290,756,621060,6212,621060
290,756,621870,6212,621870
291,758,622870,6212,622870
292,760,623680,6212,623680
292,760,624000,6212,624000
292,760,624810,6212,624810
293,762,625810,6212,625810
294,764,626620,6212,626620
294,764,627620,6212,627620
294,764,628620,6212,628620
294,764,628940,6212,628940
295,766,629940,6212,629940
295,766,630400,6212,630400
295,766,631400,6212,631400
296,768,632210,6212,632210
297,770,633210,6212,633210
297,770,634210,6212,634210
