ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
249,582,506890,6212,506890
249,582,507890,6212,507890
250,584,508890,6212,508890
250,584,509050,6212,509050
250,584,509050,6212,509050
251,586,510050,6212,510050
251,586,510860,6212,510860
251,586,511230,6212,511230
251,586,512230,6212,512230
252,588,513230,6212,513230
252,588,514230,6212,514230
253,590,515040,6212,515040
253,590,516040,6212,516040
253,590,516040,6212,516040
254,592,517040,6212,517040
254,592,517850,6212,517850
255,594,518320,6212,518320
255,594,518790,6212,518790
256,596,519790,6212,519790
257,600,523790,6212,523790
257,600,524790,6212,524790
258,602,525790,6212,525790
258,602,526110,6212,526110
259,604,527110,6212,527110
259,604,527110,6212,527110
259,604,527920,6212,527920
260,606,528920,6212,528920
260,606,528920,6212,528920
260,606,529920,6212,529920
261,608,530920,6212,530920
262,610,532920,6212,532920
263,612,533920,6212,533920
263,612,533920,6212,533920
263,612,534920,6212,534920
264,614,536920,6212,536920
265,616,537920,6212,537920
265,616,538380,6212,538380
265,616,539190,6212,539190
265,616,540190,6212,540190
266,618,541190,6212,541190
266,618,542190,6212,542190
267,620,543190,6212,543190
267,620,544190,6212,544190
268,622,545190,6212,545190
268,622,546000,6212,546000
268,622,546000,6212,546000
269,624,547000,6212,547000
270,626,548000,6212,548000
270,626,549000,6212,549000
270,626,549810,6212,549810
271,628,550810,6212,550810
271,628,551130,6212,551130
271,628,551600,6212,551600
272,630,552600,6212,552600
272,630,552820,6212,552820
272,630,552820,6212,552820
272,630,553630,6212,553630
272,630,553630,6212,553630
273,638,561630,6212,561630
274,640,562440,6212,562440
274,640,563440,6212,563440
274,640,563440,6212,563440
275,642,564090,6212,564090
275,642,564900,6212,564900
275,642,564900,6212,564900
275,642,564900,6212,564900
