ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1584637.19,26.54,1.01,236927.56,3.97
1587432.28,26.59,1.05,237515.75,3.98
1587143.68,26.58,1.05,237139.32,3.97
1586769.96,26.58,1.05,236867.37,3.97
1586563.76,26.58,1.05,236865.2,3.97
1586579.26,26.58,1.05,237145.42,3.97
1586697.8,26.59,1.05,237397.26,3.98
1586628.26,26.59,1.05,236958.87,3.97
1584543.82,26.59,1.05,236901.55,3.98
1584279.26,26.59,1.05,236996.62,3.98
1584073.06,26.59,1.05,236922.56,3.98
1583872.03,26.59,1.06,236834.52,3.98
1583990.57,26.6,1.06,236823.07,3.98
1584110.52,26.6,1.07,240597.88,4.04
1584260.94,26.61,1.07,240780.39,4.04
1583527.18,26.6,1.06,240035.85,4.03
1585739.83,26.64,1.1,239937.73,4.03
1585533.63,26.64,1.1,239866.9,4.03
1585327.43,26.64,1.1,239861.49,4.03
1585121.24,26.64,1.1,239790.42,4.03
1584916.28,26.64,1.1,239665.41,4.03
1584710.08,26.64,1.1,239660.25,4.03
1584452.24,26.64,1.1,238991.86,4.02
1584434.08,26.65,1.11,239351.55,4.03
1584415.92,26.65,1.11,239281.46,4.02
1584643.44,26.66,1.11,239877.28,4.03
1584437.24,26.66,1.11,239806.21,4.03
1584089.02,26.65,1.11,239546.59,4.03
1583882.82,26.66,1.11,239541.42,4.03
1583676.62,26.66,1.11,239470.35,4.03
1583676.62,26.66,1.11,239470.35,4.03
1583885.97,26.66,1.12,239401.6,4.03
1583512.25,26.66,1.11,239012.17,4.02
1583630.79,26.66,1.12,239754.32,4.04
1583630.79,26.66,1.12,239754.32,4.04
1583424.6,26.66,1.12,239749.16,4.04
1583218.4,26.67,1.12,239747.13,4.04
1583200.24,26.67,1.12,239843.52,4.04
1583427.76,26.67,1.13,240152.07,4.05
1583195.22,26.68,1.13,240147.04,4.05
1582929.24,26.68,1.13,240088.9,4.05
1582723.05,26.68,1.13,240014.69,4.05
1582704.89,26.68,1.13,240111.08,4.05
1582438.91,26.68,1.13,240086.37,4.05
1580354.47,26.68,1.13,240029.05,4.05
1580336.31,26.68,1.13,240179.46,4.06
1580130.11,26.69,1.13,240177.29,4.06
1580339.46,26.69,1.14,240108.54,4.06
1580133.26,26.69,1.14,240034.48,4.05
1580260.95,26.7,1.15,239851.01,4.05
