ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
262,668,556240,6212,556240
262,668,556700,6212,556700
262,668,557700,6212,557700
262,668,558160,6212,558160
262,668,559160,6212,559160
263,670,559970,6212,559970
263,670,559970,6212,559970
263,670,560970,6212,560970
264,672,561970,6212,561970
264,672,562970,6212,562970
264,672,563780,6212,563780
265,674,564370,6212,564370
265,674,564840,6212,564840
266,682,565840,6212,565840
267,686,569840,6212,569840
267,686,569840,6212,569840
268,688,570310,6212,570310
268,688,570310,6212,570310
268,688,570630,6212,570630
268,688,571440,6212,571440
268,688,572440,6212,572440
268,688,573440,6212,573440
268,688,573440,6212,573440
268,688,574440,6212,574440
268,688,574670,6212,574670
269,690,575670,6212,575670
270,692,576670,6212,576670
270,692,577670,6212,577670
270,692,577670,6212,577670
271,694,578670,6212,578670
272,696,579140,6212,579140
272,696,579790,6212,579790
273,704,580790,6212,580790
273,704,581790,6212,581790
273,704,581790,6212,581790
273,704,582790,6212,582790
273,704,583260,6212,583260
273,704,583580,6212,583580
274,706,584390,6212,584390
274,706,585200,6212,585200
275,708,585670,6212,585670
275,708,586670,6212,586670
275,708,586670,6212,586670
275,708,587670,6212,587670
275,708,588670,6212,588670
275,708,589670,6212,589670
275,708,590670,6212,590670
275,708,590890,6212,590890
275,708,591890,6212,591890
276,710,592890,6212,592890
276,710,593890,6212,593890
276,710,594700,6212,594700
277,718,594700,6212,594700
277,718,595160,6212,595160
277,718,595380,6212,595380
278,720,596380,6212,596380
278,720,597380,6212,597380
279,722,597850,6212,597850
280,724,598850,6212,598850
281,728,599850,6212,599850
281,728,600850,6212,600850
282,736,608850,6212,608850
283,738,609170,6212,609170
283,738,609720,6212,609720
283,738,610720,6212,610720
283,738,610720,6212,610720
284,740,611720,6212,611720
285,742,612530,6212,612530
285,742,613000,6212,613000
285,742,613810,6212,613810
285,742,614810,6212,614810
285,742,615030,6212,615030
285,742,616030,6212,616030
285,742,616500,6212,616500
286,744,617310,6212,617310
287,746,618310,6212,618310
287,746,619120,6212,619120
287,746,619440,6212,619440
287,746,619440,6212,619440
288,748,620250,6212,620250
289,750,621060,6212,621060
289,750,621060,6212,621060
289,750,621060,6212,621060
289,750,621870,6212,621870
290,752,622870,6212,622870
290,752,623680,6212,623680
290,752,624000,6212,624000
291,754,624810,6212,624810
291,754,625810,6212,625810
291,754,626620,6212,626620
292,756,627620,6212,627620
292,756,628620,6212,628620
293,758,628940,6212,628940
