ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
238,534,288900,6212,288900
239,536,289220,6212,289220
239,536,289220,6212,289220
239,536,290030,6212,290030
239,536,290350,6212,290350
240,538,291160,6212,291160
240,538,291160,6212,291160
240,538,291970,6212,291970
241,540,292780,6212,292780
241,540,293590,6212,293590
242,542,294140,6212,294140
242,542,294610,6212,294610
242,542,295080,6212,295080
242,542,295080,6212,295080
242,542,295080,6212,295080
243,544,295730,6212,295730
243,544,295730,6212,295730
243,544,295730,6212,295730
243,544,296540,6212,296540
244,546,297130,6212,297130
244,546,297180,6212,297180
244,546,297530,6212,297530
244,546,297850,6212,297850
244,546,298660,6212,298660
245,548,299470,6212,299470
245,548,300280,6212,300280
245,548,300330,6212,300330
245,548,300490,6212,300490
246,550,301140,6212,301140
246,550,301790,6212,301790
246,550,301790,6212,301790
247,552,302600,6212,302600
247,552,303250,6212,303250
248,554,304060,6212,304060
248,554,304530,6212,304530
248,554,304530,6212,304530
249,556,305340,6212,305340
249,556,306150,6212,306150
250,558,306960,6212,306960
250,558,306960,6212,306960
250,558,307770,6212,307770
250,558,307770,6212,307770
250,558,308240,6212,308240
250,558,308240,6212,308240
251,560,309050,6212,309050
251,560,309520,6212,309520
251,560,309520,6212,309520
251,560,309520,6212,309520
251,560,309840,6212,309840
252,562,310650,6212,310650
252,562,311120,6212,311120
252,562,311590,6212,311590
253,564,312400,6212,312400
253,564,312870,6212,312870
253,564,313680,6212,313680
254,566,314490,6212,314490
254,566,314860,6212,314860
254,566,315330,6212,315330
254,566,315330,6212,315330
254,566,315330,6212,315330
254,566,315790,6212,315790
254,566,316110,6212,316110
254,566,316270,6212,316270
255,568,317080,6212,317080
255,568,317550,6212,317550
255,568,317550,6212,317550
255,568,317710,6212,317710
256,570,318520,6212,318520
256,570,318840,6212,318840
256,570,319160,6212,319160
256,570,319630,6212,319630
256,570,319950,6212,319950
257,572,320600,6212,320600
257,572,321250,6212,321250
257,572,321570,6212,321570
258,574,322380,6212,322380
258,574,323190,6212,323190
259,578,323740,6212,323740
260,580,324550,6212,324550
260,580,324770,6212,324770
260,580,325090,6212,325090
260,580,325560,6212,325560
260,580,326020,6212,326020
260,580,326250,6212,326250
260,580,327060,6212,327060
260,580,327060,6212,327060
260,580,327530,6212,327530
260,580,328340,6212,328340
261,582,329150,6212,329150
261,582,329960,6212,329960
262,584,330770,6212,330770
262,584,331580,6212,331580
263,586,332390,6212,332390
263,586,332860,6212,332860
263,586,332860,6212,332860
263,586,333330,6212,333330
264,588,333800,6212,333800
264,588,334030,6212,334030
264,588,334030,6212,334030
264,588,334250,6212,334250
264,588,334250,6212,334250
264,588,334570,6212,334570
264,588,334570,6212,334570
264,588,335030,6212,335030
265,590,335510,6212,335510
265,590,335980,6212,335980
265,590,336450,6212,336450
266,592,337260,6212,337260
266,592,338070,6212,338070
266,592,338070,6212,338070
266,592,338540,6212,338540
267,594,339010,6212,339010
267,594,339660,6212,339660
267,594,339980,6212,339980
267,594,340450,6212,340450
268,596,341260,6212,341260
268,596,341730,6212,341730
268,596,342200,6212,342200
269,598,342670,6212,342670
269,598,342670,6212,342670
269,598,342670,6212,342670
269,598,343140,6212,343140
269,598,343730,6212,343730
270,600,344540,6212,344540
270,600,345010,6212,345010
271,602,345820,6212,345820
271,602,346630,6212,346630
272,604,347440,6212,347440
272,604,347710,6212,347710
272,604,348300,6212,348300
273,606,349110,6212,349110
273,606,349340,6212,349340
273,606,349810,6212,349810
273,606,350620,6212,350620
274,608,351430,6212,351430
274,608,352080,6212,352080
274,608,352310,6212,352310
274,608,353120,6212,353120
274,608,353120,6212,353120
274,608,353340,6212,353340
275,610,354150,6212,354150
275,610,354260,6212,354260
275,610,355070,6212,355070
276,612,355880,6212,355880
276,612,356690,6212,356690
277,614,357160,6212,357160
277,614,357480,6212,357480
277,614,357800,6212,357800
277,614,358610,6212,358610
278,616,359420,6212,359420
278,616,359890,6212,359890
278,616,360350,6212,360350
279,618,360820,6212,360820
279,618,361290,6212,361290
279,618,361400,6212,361400
279,618,361860,6212,361860
280,620,362670,6212,362670
280,620,363140,6212,363140
280,620,363140,6212,363140
280,620,363360,6212,363360
280,620,364170,6212,364170
281,622,364640,6212,364640
281,622,364990,6212,364990
281,622,365640,6212,365640
281,622,365870,6212,365870
282,624,366680,6212,366680
282,624,367150,6212,367150
283,626,367960,6212,367960
283,626,368420,6212,368420
283,626,368890,6212,368890
283,626,368890,6212,368890
284,628,369540,6212,369540
284,628,369760,6212,369760
284,628,370570,6212,370570
285,632,371040,6212,371040
286,634,371410,6212,371410
286,634,371730,6212,371730
286,634,372540,6212,372540
286,634,373130,6212,373130
286,634,373780,6212,373780
286,634,373780,6212,373780
286,634,373780,6212,373780
286,634,374590,6212,374590
286,634,375400,6212,375400
287,636,375870,6212,375870
287,636,376680,6212,376680
287,636,377000,6212,377000
287,636,377000,6212,377000
288,638,377810,6212,377810
288,638,377810,6212,377810
288,638,378460,6212,378460
288,638,378460,6212,378460
288,638,378930,6212,378930
289,640,379740,6212,379740
289,640,380390,6212,380390
290,642,380860,6212,380860
290,642,381090,6212,381090
290,642,381410,6212,381410
290,642,381730,6212,381730
290,642,382540,6212,382540
291,644,383350,6212,383350
291,644,384160,6212,384160
291,644,384630,6212,384630
292,646,385100,6212,385100
292,646,385910,6212,385910
293,648,386500,6212,386500
293,648,387310,6212,387310
293,648,387770,6212,387770
293,648,388090,6212,388090
293,648,388090,6212,388090
294,650,388900,6212,388900
294,650,389710,6212,389710
295,652,390520,6212,390520
295,652,390990,6212,390990
295,652,391310,6212,391310
296,654,392120,6212,392120
296,654,392590,6212,392590
296,654,392590,6212,392590
296,654,393400,6212,393400
297,656,394210,6212,394210
297,656,394530,6212,394530
297,656,395340,6212,395340
298,658,395800,6212,395800
298,658,396260,6212,396260
298,658,396580,6212,396580
299,660,397390,6212,397390
299,660,397940,6212,397940
299,660,397940,6212,397940
299,660,398750,6212,398750
300,662,399220,6212,399220
300,662,399690,6212,399690
300,662,400500,6212,400500
301,664,400730,6212,400730
301,664,401320,6212,401320
301,664,402130,6212,402130
302,666,402940,6212,402940
302,666,403750,6212,403750
302,666,403910,6212,403910
303,668,404370,6212,404370
303,668,404370,6212,404370
303,668,404690,6212,404690
303,668,405160,6212,405160
304,670,405970,6212,405970
304,670,406340,6212,406340
304,670,406810,6212,406810
304,670,406810,6212,406810
304,670,406810,6212,406810
304,670,407130,6212,407130
305,672,407680,6212,407680
305,672,408490,6212,408490
306,674,409140,6212,409140
306,674,409950,6212,409950
