ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
885269.08,15.1,1.5,178484.83,3.04
885133.1,15.1,1.5,178484.83,3.04
884997.12,15.1,1.5,178484.52,3.05
884997.12,15.1,1.5,178484.23,3.05
885381.79,15.11,1.51,178769.2,3.05
885245.81,15.11,1.51,178768.89,3.05
885109.83,15.11,1.51,178885.76,3.05
885109.83,15.11,1.51,178806.44,3.05
884973.85,15.11,1.51,179286.08,3.06
884837.88,15.11,1.51,179286.06,3.06
884890.58,15.11,1.51,179286.12,3.06
884654.68,15.11,1.51,178962.5,3.06
884654.68,15.11,1.51,178883.19,3.06
884518.7,15.11,1.51,178883.19,3.06
884382.72,15.11,1.51,178889.42,3.06
884246.75,15.11,1.51,178227.02,3.05
884542.77,15.12,1.52,178525.59,3.05
884406.79,15.12,1.52,178525.28,3.05
884744.93,15.13,1.53,178345.14,3.05
884797.63,15.13,1.53,178345.2,3.05
884850.33,15.13,1.53,178345.26,3.05
884773.79,15.13,1.53,178256.77,3.05
884773.79,15.13,1.53,178256.46,3.05
884773.79,15.13,1.53,178261.68,3.05
884637.82,15.13,1.54,178261.68,3.05
885091.39,15.14,1.54,178259.58,3.05
884955.41,15.14,1.54,178180.27,3.05
884819.43,15.14,1.54,178180.43,3.05
884313.3,15.14,1.54,177680.41,3.04
884503.75,15.14,1.54,177748.05,3.04
884503.75,15.14,1.54,177747.76,3.04
883818.08,15.13,1.53,176995.87,3.03
883682.1,15.13,1.53,177002.09,3.03
883986.27,15.14,1.54,177253.06,3.04
884038.97,15.14,1.54,177194.68,3.03
883903.0,15.14,1.54,177194.68,3.04
883767.02,15.14,1.54,177194.68,3.04
883631.04,15.14,1.54,177194.68,3.04
883495.06,15.14,1.54,177194.36,3.04
883547.76,15.14,1.55,177305.44,3.04
